model,condition,accuracy,precision,recall,f1,auc_roc
RF,A,0.9235382308845578,0.8548387096774194,0.5578947368421052,0.6751592356687898,0.8869709238130291
RF,B,0.9130434782608695,0.6907216494845361,0.7052631578947368,0.6979166666666666,0.8954177401545822
RF,C,0.889055472263868,0.5826771653543307,0.7789473684210526,0.6666666666666666,0.8726168568273832
RF,D,0.9295352323838081,0.8333333333333334,0.631578947368421,0.718562874251497,0.8962458594037541
XGBoost,A,0.9190404797601199,0.847457627118644,0.5263157894736842,0.6493506493506493,0.8888755980861244
XGBoost,B,0.896551724137931,0.6413043478260869,0.6210526315789474,0.6310160427807486,0.8712182554287818
XGBoost,C,0.9010494752623688,0.638095238095238,0.7052631578947368,0.67,0.8760397497239603
XGBoost,D,0.9235382308845578,0.8142857142857143,0.6,0.6909090909090909,0.8898049319101952
LR,A,0.8845577211394303,0.7142857142857143,0.3157894736842105,0.43795620437956206,0.8507913139492087
LR,B,0.7781109445277361,0.37320574162679426,0.8210526315789474,0.5131578947368421,0.8492270887007729
LR,C,0.7811094452773614,0.37438423645320196,0.8,0.5100671140939598,0.8486382039013618
LR,D,0.8785607196401799,0.7058823529411765,0.25263157894736843,0.37209302325581395,0.8513801987486198
